,NO2
2021-03-25,4.744109330165645
2021-03-26,8.617590161146198
2021-03-27,3.666457604604028
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,4.491020584734868
2021-03-31,0.0
2021-04-01,3.6825397024761863
2021-04-02,5.184350351201895
2021-04-03,8.346596965101039
2021-04-04,12.252462604448645
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,2.806618747113622
2021-04-08,3.5410195106315903
2021-04-09,3.1086396299125414
2021-04-10,3.5262429889427738
2021-04-11,0.0
2021-04-12,7.141019321593647
2021-04-13,8.849372515851993
